group22	Gmax_01G001100.m1,Gmax_01G001200.m1	group22,group22
group35	Gmax_01G156200.m1,Gmax_01G156300.m1,Gmax_01G157100.m1	group35,group35,group35
group1	Gmax_01G157300.m1,Gmax_01G157400.m1	group1,group1
group1	Gmax_01G157800.m1,Gmax_01G157900.m1,Gmax_01G158000.m1	group1,group1,group1
group1	Gmax_01G158400.m1,Gmax_01G158600.m1	group1,group1
group1	Gmax_01G158900.m1,Gmax_01G159000.m1,Gmax_01G159100.m1	group1,group1,group1
group103	Gmax_01G161100.m1,Gmax_01G161200.m1	group103,group103
group3	Gmax_01G167000.m1,Gmax_01G167200.m1	group3,group3
group137	Gmax_01G171700.m1,Gmax_01G171800.m1	group137,group137
group121	Gmax_01G173400.m1,Gmax_01G173500.m1	group121,group121
group176	Gmax_01G177500.m1,Gmax_01G177600.m1	group176,group176
group7	Gmax_01G178700.m1,Gmax_01G178900.m1,Gmax_01G179000.m1,Gmax_01G179200.m1,Gmax_01G179300.m1,Gmax_01G179400.m1,Gmax_01G179500.m1	group7,group7,group7,group7,group7,group7,group7
group154	Gmax_01G180300.m1,Gmax_01G180400.m1	group154,group154
group184	Gmax_01G183300.m1,Gmax_01G183400.m1	group184,group184
group64	Gmax_01G184200.m1,Gmax_01G184400.m1,Gmax_01G184500.m1	group64,group64,group64
group94	Gmax_01G187500.m1,Gmax_01G187600.m1	group94,group94
group80	Gmax_01G189800.m1,Gmax_01G189900.m1	group80,group80
group14	Gmax_01G191100.m1,Gmax_01G191200.m1,Gmax_01G191300.m1,Gmax_01G191400.m1,Gmax_01G191500.m1	group14,group14,group14,group14,group14
group84	Gmax_01G192100.m1,Gmax_01G192200.m1	group84,group84
group13	Gmax_01G197500.m1,Gmax_01G197600.m1	group13,group13
group5	Gmax_01G197900.m1,Gmax_01G198000.m1,Gmax_01G198100.m1,Gmax_01G198200.m1	group5,group5,group5,group5
group133	Gmax_01G199000.m1,Gmax_01G199100.m1	group133,group133
group5	Gmax_01G200400.m1,Gmax_01G200600.m1	group5,group5
group109	Gmax_01G201800.m1,Gmax_01G201900.m1	group109,group109
group16	Gmax_01G205300.m1,Gmax_01G205400.m1	group16,group16
group186	Gmax_01G216500.m1,Gmax_01G216700.m1	group186,group186
group47	Gmax_01G216800.m1,Gmax_01G216900.m1,Gmax_01G217000.m1	group47,group47,group47
group74	Gmax_01G217500.m1,Gmax_01G217600.m1	group74,group74
group70	Gmax_01G220800.m1,Gmax_01G220900.m1	group70,group70
group92	Gmax_01G223900.m1,Gmax_01G224000.m1	group92,group92
group33	Gmax_01G224700.m1,Gmax_01G224800.m1,Gmax_01G224900.m1,Gmax_01G225000.m1	group33,group33,group33,group33
group167	Gmax_01G225100.m1,Gmax_01G225200.m1	group167,group167
group66	Gmax_01G227600.m1,Gmax_01G227700.m1	group66,group66
group119	Gmax_01G231000.m1,Gmax_01G231100.m1	group119,group119
group42	Gmax_01G233500.m1,Gmax_01G233600.m1,Gmax_01G233700.m1	group42,group42,group42
group110	Gmax_01G234600.m1,Gmax_01G234700.m1	group110,group110
group172	Gmax_01G235900.m1,Gmax_01G236000.m1	group172,group172
group164	Gmax_01G237100.m1,Gmax_01G237200.m1	group164,group164
group107	Gmax_01G241100.m1,Gmax_01G241200.m1	group107,group107
group89	Gmax_01G248700.m1,Gmax_01G248800.m1	group89,group89
group54	Gmax_01G249500.m1,Gmax_01G249700.m1	group54,group54
group44	Gmax_01G250500.m1,Gmax_01G250700.m1,Gmax_01G250900.m1	group44,group44,group44
group188	Gmax_01G255300.m1,Gmax_01G255400.m1	group188,group188
group37	Gmax_01G257900.m1,Gmax_01G258000.m1,Gmax_01G258100.m1,Gmax_01G258200.m1	group37,group37,group37,group37
group31	Gmax_01G259300.m1,Gmax_01G259400.m1,Gmax_01G259500.m1	group31,group31,group31
